subject_id	rh.aparc.volume	rh_bankssts_volume	rh_caudalanteriorcingulate_volume	rh_caudalmiddlefrontal_volume	rh_cuneus_volume	rh_entorhinal_volume	rh_fusiform_volume	rh_inferiorparietal_volume	rh_inferiortemporal_volume	rh_isthmuscingulate_volume	rh_lateraloccipital_volume	rh_lateralorbitofrontal_volume	rh_lingual_volume	rh_medialorbitofrontal_volume	rh_middletemporal_volume	rh_parahippocampal_volume	rh_paracentral_volume	rh_parsopercularis_volume	rh_parsorbitalis_volume	rh_parstriangularis_volume	rh_pericalcarine_volume	rh_postcentral_volume	rh_posteriorcingulate_volume	rh_precentral_volume	rh_precuneus_volume	rh_rostralanteriorcingulate_volume	rh_rostralmiddlefrontal_volume	rh_superiorfrontal_volume	rh_superiorparietal_volume	rh_superiortemporal_volume	rh_supramarginal_volume	rh_frontalpole_volume	rh_temporalpole_volume	rh_transversetemporal_volume	rh_insula_volume	BrainSegVolNotVent	eTIV
sub-7333005	2857.0	2628.0	6697.0	4190.0	2168.0	11695.0	20358.0	13453.0	2601.0	13929.0	9562.0	9069.0	6665.0	15998.0	2399.0	4770.0	4830.0	3029.0	5656.0	2308.0	11210.0	4382.0	18201.0	13842.0	3169.0	15784.0	28117.0	18107.0	15735.0	12888.0	1465.0	2506.0	1233.0	8837.0	1221867.0	1664237.227948
sub-1177160	2068.0	2015.0	7060.0	4461.0	1634.0	9882.0	18822.0	11787.0	2916.0	14248.0	8168.0	7764.0	6898.0	14141.0	2368.0	4765.0	3615.0	4073.0	5053.0	2707.0	11875.0	4095.0	14370.0	12140.0	2038.0	19450.0	27875.0	19040.0	15420.0	10655.0	1870.0	2766.0	1143.0	7572.0	1135375.0	1530173.748793
sub-4060823	1866.0	1446.0	9358.0	3725.0	1646.0	10783.0	14849.0	10339.0	2196.0	12959.0	8282.0	7781.0	5631.0	13227.0	2044.0	5592.0	4517.0	3741.0	5848.0	2377.0	9800.0	3688.0	15594.0	11768.0	1749.0	17712.0	26885.0	14799.0	12315.0	13445.0	1682.0	2452.0	717.0	5838.0	1155264.0	1541521.791743
sub-1023964	2678.0	1628.0	7245.0	3334.0	2051.0	12963.0	15256.0	15298.0	2892.0	16019.0	8082.0	8104.0	5268.0	13381.0	1605.0	4934.0	4298.0	3502.0	6345.0	1883.0	11247.0	3563.0	15069.0	12790.0	1853.0	22599.0	26056.0	16323.0	15554.0	14404.0	1734.0	2505.0	1154.0	6733.0	1150402.0	1524869.286237
sub-2741068	2765.0	2015.0	11450.0	5336.0	1800.0	11335.0	19151.0	13119.0	3276.0	14834.0	7761.0	11674.0	5435.0	15547.0	1421.0	4064.0	7413.0	3699.0	6380.0	3870.0	9656.0	3594.0	9931.0	15865.0	1624.0	25811.0	36281.0	15527.0	13059.0	10868.0	1577.0	2489.0	1728.0	5970.0	1232242.0	1658155.072914
sub-2983819	2524.0	1456.0	7266.0	3163.0	1480.0	9702.0	19698.0	11152.0	2827.0	13905.0	8628.0	7900.0	6161.0	14671.0	2449.0	3609.0	6331.0	3647.0	6858.0	2046.0	9878.0	3548.0	14516.0	10541.0	921.0	19432.0	21202.0	14643.0	14678.0	11774.0	1444.0	2407.0	1148.0	6946.0	1125460.0	1520578.234291
sub-6953386	3397.0	3141.0	6262.0	3650.0	2733.0	14094.0	21991.0	15979.0	3093.0	14719.0	10006.0	7406.0	7828.0	15213.0	2648.0	3991.0	4246.0	3972.0	4730.0	2309.0	12131.0	4268.0	16632.0	13730.0	2486.0	23834.0	28542.0	17095.0	14599.0	17261.0	1472.0	3039.0	1429.0	8394.0	1306108.0	1745027.071629
sub-0021029	1909.0	2034.0	10302.0	4489.0	1497.0	10173.0	15870.0	10121.0	2357.0	18090.0	8386.0	10486.0	6862.0	13732.0	1898.0	5089.0	7765.0	3429.0	4612.0	3781.0	11788.0	3154.0	12454.0	11761.0	2404.0	25793.0	37009.0	12308.0	14110.0	10232.0	1626.0	2309.0	1369.0	7106.0	1205309.0	1610385.680667
sub-1771270	1911.0	2162.0	4636.0	3463.0	1477.0	9116.0	15329.0	12329.0	2764.0	12033.0	7863.0	7293.0	5994.0	13938.0	1759.0	3563.0	3752.0	3440.0	5098.0	2217.0	8500.0	2928.0	13055.0	10149.0	2288.0	22098.0	23867.0	14578.0	12906.0	8448.0	1623.0	3331.0	740.0	6840.0	1076727.0	1415689.788946
sub-0021027	2229.0	2212.0	7252.0	3742.0	932.0	8869.0	16213.0	9615.0	2669.0	12144.0	8104.0	7625.0	6673.0	12515.0	1846.0	4970.0	4721.0	3797.0	6988.0	2595.0	10204.0	4169.0	13669.0	12831.0	2179.0	19477.0	27201.0	15952.0	13898.0	12909.0	1560.0	2280.0	1155.0	6417.0	1102722.0	1511795.546128
